,Location,Resort,Pass,Limited or unlimited,Total Lifts,Summit height,Vertical Drop,Base Elevation,Runs in Total,Longest Run,Skiable Terrain,Snow Making,Projected Opening,Projected Closing,Projected Days Open,Days Open Last Year,Years Open,Average Snowfall,Beginners Runs,Intermediate Runs,Advanced Runs,Expert Runs,Night Skiing
14,california,June Mountain,Ikon,unlimited,7,10090,2590,7545,43,2 mi,1500 ac,,2021-12-18,2022-04-10,128,111,61,250,16.0,40.0,28.0,16.0,
18,california,Mammoth,Ikon,unlimited,25,11053,3100,7953,150,3 mi,3500 ac,700 ac,2021-10-29,2022-05-30,N.A.,260,69,400,15.0,48.0,24.0,13.0,
19,oregon,Mt. Bachelor,Ikon,limited,15,9065,3365,5700,119,4 mi,4323 ac,2.5 mi,2021-12-13,2022-05-22,177,185,64,462,19.0,55.0,22.0,3.0,
23,california,Snow Summit,Ikon,unlimited,16,8200,1200,7000,27,1.2 mi,240 ac,240 ac,2021-12-03,2022-04-16,N.A.,N.A.,70,100,19.0,48.0,26.0,7.0,150 ac
24,utah,Snowbasin,Ikon,limited,12,9350,2900,6450,41.8 mi,3.5 mi,3000 ac,24.9 mi,2021-12-10,2022-04-10,135,143,82,300,7.0,37.0,47.0,9.0,
25,utah,Snowbird,Ikon,limited,14,11000,3240,7760,140,2.5 mi,2500 ac,,2021-12-01,2022-06-19,205,184,51,500,8.0,25.0,43.0,24.0,
26,utah,Solitude,Ikon,unlimited,9,10488,2494,7994,82,3 mi,1200 ac,150 ac,2021-11-23,2022-04-17,142,161,65,500,6.0,43.0,30.0,21.0,
27,colorado,Steamboat,Ikon,unlimited,18,10568,3668,6900,169,3 mi,2965 ac,375 ac,2021-11-27,2022-04-10,149,144,59,336,12.0,38.0,40.0,7.0,30 ac
29,vermont,Sugarbush,Ikon,unlimited,16,4083,2600,1483,111,3 mi,581 ac,406 ac,2021-11-24,2022-05-01,162,150,64,250,23.0,42.0,27.0,7.0,
30,maine,Sugarloaf,Ikon,limited,13,4237,2820,1417,162,3.5 mi,1240 ac,618 ac,2021-11-19,2022-04-24,149,159,71,200,22.0,32.0,26.0,20.0,
